яблоко,0
банан,3
апельсин,6
абрикос,5
алыча,4
персик,1
слива,2
черешня,3
вишня,1
хурма,4
гранадилла,6
инжир,3
эшта,0
айва,0
нектарин,6
лонган,4
гранат,4
ананас,4
гуанабана,4
лайм,1
огурец,4
помидор,5
свёкла,2
горох,3
репа,1
перец,1
тыква,1
укроп,3
фасоль,3
хрен,2
кукуруза,5
капуста,3
кабачок,5
шпинат,4
щавель,3
морковь,4
лук,1
картофель,4
авокадо,4
артишок,5
нож,1
молоток,5
пила,3
гвоздодёр,7
ножницы,1
плоскогубцы,7
стеклорез,7
болторез,6
труборез,6
надфиль,1
термопистолет,1
тиски,4
лом,1
ключ,2
точило,3
шестигранник,7
лобзик,1
домкрат,5
струбцина,6
отвёртка,3
кот,1
собака,3
корова,3
курица,1
свинья,5
гусь,1
ёж,0
петух,3
заяц,1
белка,1
крыса,2
мышь,1
енот,2
попугай,5
лось,1
медведь,4
кабан,3
лиса,3
волк,1
лошадь,1
вальтарен,7
дифлюкан,6
иммунал,5
лазолван,6
ламизил,5
нурофен,5
омез,2
панангин,6
флюкостат,7
капотен,5
панадол,5
мовалис,3
ксеникал,6
гептрал,5
кларитин,6
бепантен,6
бетасерк,5
дипоросалик,7
кавинтон,6
